# nthreads time N err
2	0.133893	1448	1.53824e-05
4	0.323576	2048	0.000129346
6	0.203156	2508	1.60853e-05
8	0.224413	2896	1.35532e-05
10	0.339925	3238	4.8637e-05
12	0.444697	3547	3.59221e-05
14	0.488759	3831	3.85634e-05
