2   1   18.1243 256
2   2   10.8842 256
2   4   7.53531 256
4   1   10.2654 256
4   2   7.31958 256
4   4   7.29097 256
6   1   6.86715 258
6   2   6.88938 258
6   4   6.16726 258
8   1   6.48517 256
8   2   5.71608 256
8   4   6.29312 256
