2	1	0.0687083	1024	3.70372e-06	
2	2	0.056808	1024	2.59595e-06	
2	4	0.0390957	1024	6.06202e-06	
2	6	0.0341487	1024	2.2076e-05	
2	8	0.0304509	1024	1.6274e-05	
2	10	0.0288852	1024	1.52971e-05	
2	12	0.0281422	1024	1.52029e-05	
2	14	0.0269396	1024	1.47181e-05	
2	16	0.0262971	1024	1.05658e-05	
4	1	0.0333828	1024	1.44387e-05	
4	2	0.0309371	1024	2.65555e-05	
4	4	0.0235048	1024	1.76584e-05	
4	6	0.019941	1024	3.13452e-05	
4	8	0.0178284	1024	1.9377e-05	
4	10	0.0170745	1024	2.30916e-05	
4	12	0.0160739	1024	2.77859e-05	
4	14	0.0155656	1024	2.73626e-05	
4	16	0.0158497	1024	1.97232e-05	
6	1	0.019336	1026	2.49313e-05	
6	2	0.024825	1026	2.32369e-05	
6	4	0.0172957	1026	2.6118e-05	
6	6	0.0161634	1026	2.7702e-05	
6	8	0.0171324	1026	2.9289e-05	
6	10	0.0159462	1026	2.65905e-05	
6	12	0.0157798	1026	2.84331e-05	
6	14	0.0167454	1026	2.79458e-05	
6	16	0.0174159	1026	2.40562e-05	
8	1	0.0194967	1024	7.09981e-05	
8	2	0.0219616	1024	8.8612e-05	
8	4	0.0180549	1024	7.06289e-05	
8	6	0.015663	1024	5.06911e-05	
8	8	0.0165079	1024	6.14584e-05	
8	10	0.0157867	1024	6.84867e-05	
8	12	0.0163469	1024	5.98893e-05	
8	14	0.0163114	1024	5.97086e-05	
8	16	0.0159768	1024	7.86498e-05	
