2   1   81.4026 512
2   2   77.8605 512
2   4   41.1782 512
2   6   43.9077 512
2   8   39.8123 512
2   10  38.4765 512
2   12  36.6586 512
2   14  36.0164 512
2   16  35.4806 512
4   1   41.2738 512
4   2   44.2796 512
4   4   33.7204 512
4   6   31.2418 512
4   8   30.0097 512
4   10  27.5055 512
4   12  27.8346 512
4   14  28.1764 512
4   16  28.4444 512
6   1   24.6347 516
6   2   21.6783 516
6   4   17.0713 516
6   6   13.7679 516
6   8   13.4579 516
6   10  12.4016 516
6   12  12.0351 516
6   14  11.5862 516
6   16  11.5674 516
8   1   23.2583 512
8   2   19.9805 512
8   4   14.558  512
8   6   14.6889 512
8   8   12.0549 512
8   10  11.5177 512
8   12  11.6241 512
8   14  10.5408 512
8   16  10.1487 512
