# time size error
0.0320386 512 4.60114e-06
0.127246 1024 0.000136796
0.276513 1448 0.000237607
0.644091 2048 0.000432743
0.926627 2508 0.000614687
1.23888 2896 0.00081142
1.57144 3238 0.000989627
1.92388 3547 0.00116483
2.21692 3831 0.00135168
3.02726 4096 0.00149295
